,Building,Date,Attendance,Year,Month,Week,Lag1,Lag4,Roll4,Delta1,Delta4,IsSummer,IsHolidaySeason,ChurchEvent,IsFastSunday
,Avon 2nd Ward,1/7/2024,158.00,2024.00,1,1,0,0,0,0,0,0,0,None,1
,Avon 2nd Ward,1/21/2024,143.00,2024.00,1,4,158,0,0,158.00,0,0,0,None,0
,Avon 2nd Ward,1/28/2024,139.00,2024.00,1,5,143,0,0,-15.00,0,0,0,None,0
,Avon 2nd Ward,2/4/2024,147.00,2024.00,2,6,139,0,0,-4.00,0,0,0,None,1
,Avon 2nd Ward,2/11/2024,142.00,2024.00,2,7,147,158,146.75,8.00,-16,0,0,None,0
,Avon 2nd Ward,2/18/2024,139.00,2024.00,2,8,142,143,142.75,-5.00,-4,0,0,None,0
,Avon 2nd Ward,2/25/2024,162.00,2024.00,2,9,139,139,141.75,-3.00,23,0,0,None,0
,Avon 2nd Ward,3/3/2024,175.00,2024.00,3,10,162,147,147.5,23.00,28,0,0,None,1
,Avon 2nd Ward,3/10/2024,153.00,2024.00,3,11,175,142,154.5,13.00,11,0,0,None,0
,Avon 2nd Ward,3/17/2024,149.00,2024.00,3,12,153,139,157.25,-22.00,10,0,0,None,0
,Avon 2nd Ward,3/24/2024,158.00,2024.00,3,13,149,162,159.75,-4.00,-4,0,0,Palm Sunday,0
,Avon 2nd Ward,3/31/2024,171.00,2024.00,3,14,158,175,158.75,9.00,-4,0,0,Easter,0
,Avon 2nd Ward,4/14/2024,147.00,2024.00,4,16,171,153,157.75,13.00,-6,0,0,None,0
,Avon 2nd Ward,4/21/2024,175.00,2024.00,4,17,147,149,156.25,-24.00,26,0,0,None,0
,Avon 2nd Ward,4/28/2024,163.00,2024.00,4,18,175,158,162.75,28.00,5,0,0,None,0
,Avon 2nd Ward,5/5/2024,225.00,2024.00,5,19,163,171,164,-12.00,54,0,0,None,1
,Avon 2nd Ward,5/12/2024,164.00,2024.00,5,20,225,147,177.5,62.00,17,0,0,Mothers Day,0
,Avon 2nd Ward,6/9/2024,147.00,2024.00,6,24,164,175,181.75,-61.00,-28,1,0,None,0
,Avon 2nd Ward,6/16/2024,153.00,2024.00,6,25,147,163,174.75,-17.00,-10,1,0,Fathers Day,0
,Avon 2nd Ward,6/30/2024,129.00,2024.00,6,27,153,225,172.25,6.00,-96,1,0,None,0
,Avon 2nd Ward,7/7/2024,145.00,2024.00,7,28,129,164,148.25,-24.00,-19,1,0,None,1
,Avon 2nd Ward,7/14/2024,158.00,2024.00,7,29,145,147,143.5,16.00,11,1,0,None,0
,Avon 2nd Ward,7/21/2024,156.00,2024.00,7,30,158,153,146.25,13.00,3,1,0,None,0
,Avon 2nd Ward,7/28/2024,154.00,2024.00,7,31,156,129,147,-2.00,25,1,0,None,0
,Avon 2nd Ward,8/4/2024,169.00,2024.00,8,32,154,145,153.25,-2.00,24,1,0,None,1
,Avon 2nd Ward,8/11/2024,158.00,2024.00,8,33,169,158,159.25,15.00,0,1,0,None,0
,Avon 2nd Ward,8/18/2024,127.00,2024.00,8,34,158,156,159.25,-11.00,-29,1,0,None,0
,Avon 2nd Ward,8/25/2024,123.00,2024.00,8,35,127,154,152,-31.00,-31,1,0,None,0
,Avon 2nd Ward,9/1/2024,138.00,2024.00,9,36,123,169,144.25,-4.00,-31,0,0,None,1
,Avon 2nd Ward,9/8/2024,137.00,2024.00,9,37,138,158,136.5,15.00,-21,0,0,None,0
