date,attendance,year,month,week,lag1,lag4,roll4,delta1,delta4,is_summer,is_holiday_season,church_event,is_fast_sunday
2024-01-07,158,2024,1,1,0.0,0.0,0.0,0.0,0.0,0,0,None,1
2024-01-21,143,2024,1,4,158.0,0.0,0.0,158.0,0.0,0,0,None,0
2024-01-28,139,2024,1,5,143.0,0.0,0.0,-15.0,0.0,0,0,None,0
2024-02-04,147,2024,2,6,139.0,0.0,0.0,-4.0,0.0,0,0,None,1
2024-02-11,142,2024,2,7,147.0,158.0,146.75,8.0,-16.0,0,0,None,0
2024-02-18,139,2024,2,8,142.0,143.0,142.75,-5.0,-4.0,0,0,None,0
2024-02-25,162,2024,2,9,139.0,139.0,141.75,-3.0,23.0,0,0,None,0
2024-03-03,175,2024,3,10,162.0,147.0,147.5,23.0,28.0,0,0,None,1
2024-03-10,153,2024,3,11,175.0,142.0,154.5,13.0,11.0,0,0,None,0
2024-03-17,149,2024,3,12,153.0,139.0,157.25,-22.0,10.0,0,0,None,0
2024-03-24,158,2024,3,13,149.0,162.0,159.75,-4.0,-4.0,0,0,Palm Sunday,0
2024-03-31,171,2024,3,14,158.0,175.0,158.75,9.0,-4.0,0,0,Easter,0
2024-04-14,147,2024,4,16,171.0,153.0,157.75,13.0,-6.0,0,0,None,0
2024-04-21,175,2024,4,17,147.0,149.0,156.25,-24.0,26.0,0,0,None,0
2024-04-28,163,2024,4,18,175.0,158.0,162.75,28.0,5.0,0,0,None,0
2024-05-05,225,2024,5,19,163.0,171.0,164.0,-12.0,54.0,0,0,None,1
2024-05-12,164,2024,5,20,225.0,147.0,177.5,62.0,17.0,0,0,Mothers Day,0
2024-06-09,147,2024,6,24,164.0,175.0,181.75,-61.0,-28.0,1,0,None,0
2024-06-16,153,2024,6,25,147.0,163.0,174.75,-17.0,-10.0,1,0,Fathers Day,0
2024-06-30,129,2024,6,27,153.0,225.0,172.25,6.0,-96.0,1,0,None,0
2024-07-07,145,2024,7,28,129.0,164.0,148.25,-24.0,-19.0,1,0,None,1
2024-07-14,158,2024,7,29,145.0,147.0,143.5,16.0,11.0,1,0,None,0
2024-07-21,156,2024,7,30,158.0,153.0,146.25,13.0,3.0,1,0,None,0
2024-07-28,154,2024,7,31,156.0,129.0,147.0,-2.0,25.0,1,0,None,0
2024-08-04,169,2024,8,32,154.0,145.0,153.25,-2.0,24.0,1,0,None,1
2024-08-11,158,2024,8,33,169.0,158.0,159.25,15.0,0.0,1,0,None,0
2024-08-18,127,2024,8,34,158.0,156.0,159.25,-11.0,-29.0,1,0,None,0
2024-08-25,123,2024,8,35,127.0,154.0,152.0,-31.0,-31.0,1,0,None,0
2024-09-01,138,2024,9,36,123.0,169.0,144.25,-4.0,-31.0,0,0,None,1
2024-09-08,137,2024,9,37,138.0,158.0,136.5,15.0,-21.0,0,0,None,0
2024-09-15,146,2024,9,38,137.0,127.0,131.25,-1.0,19.0,0,0,None,0
2024-09-22,153,2024,9,39,146.0,123.0,136.0,9.0,30.0,0,0,None,0
2024-09-29,200,2024,9,40,153.0,138.0,143.5,7.0,62.0,0,0,None,0
